State,District,Year,Season,Crop,Area,Production
Bihar,23,2000,0,30,82394,91033
Bihar,23,2001,0,18,1581,1912
Bihar,23,2001,0,30,80793,131486
Bihar,23,2002,0,18,1500,1651
Bihar,23,2003,0,30,33,40
Bihar,23,2007,0,18,1095,1404
Bihar,23,2008,0,18,1014,1135
Bihar,23,2009,0,18,1052,1630
Bihar,23,2010,0,18,1424,1587
Bihar,23,2011,0,18,1817,3227
Bihar,23,2012,0,18,1279,2223
Bihar,23,2013,0,18,1671,3293
Bihar,23,2013,0,30,2560,3528
Bihar,23,2014,0,18,1474,3150
Bihar,23,2014,0,30,174,302
Bihar,24,1997,0,30,80375,147314
Bihar,24,2000,0,30,110973,215438
Bihar,24,2001,0,18,1753,2524
Bihar,24,2001,0,30,82008,154952
Bihar,24,2002,0,18,2917,13195
Bihar,24,2002,0,30,60600,107736
Bihar,24,2003,0,30,60482,101979
Bihar,24,2004,0,30,62896,90637
Bihar,24,2005,0,30,60970,75796
Bihar,24,2006,0,30,62429,82929
Bihar,24,2007,0,18,4119,8573
Bihar,24,2007,0,30,62292,36370
Bihar,24,2008,0,18,4062,24815
Bihar,24,2008,0,30,64203,135787
Bihar,24,2009,0,18,2378,2179
Bihar,24,2009,0,30,29293,47967
Bihar,24,2010,0,18,2036,2956
Bihar,24,2010,0,30,33623,38155
Bihar,24,2011,0,18,2122,6880
Bihar,24,2011,0,30,52990,104671
Bihar,24,2012,0,18,2129,7558
Bihar,24,2012,0,30,47432,91581
Bihar,24,2013,0,18,2239,6449
Bihar,24,2013,0,30,48010,93968
Bihar,24,2014,0,18,2073,4874
Bihar,24,2014,0,30,43085,78658
Bihar,25,1997,0,30,1179,1594
Bihar,25,2000,0,30,99073,201703
Bihar,25,2001,0,18,2370,3930
Bihar,25,2001,0,30,100152,198176
Bihar,25,2002,0,18,6905,11013
Bihar,25,2002,0,30,47,54
Bihar,25,2005,0,30,1682,1881
Bihar,25,2006,0,30,21,20
Bihar,25,2007,0,18,10380,3656
Bihar,25,2008,0,18,4416,3021
Bihar,25,2008,0,30,1541,2045
Bihar,25,2009,0,18,5160,5218
Bihar,25,2009,0,30,29,25
Bihar,25,2010,0,18,5515,4540
Bihar,25,2010,0,30,67,69
Bihar,25,2011,0,18,6078,9735
Bihar,25,2011,0,30,142,227
Bihar,25,2012,0,18,4799,11809
Bihar,25,2012,0,30,79,142
Bihar,25,2013,0,18,3736,14003
Bihar,25,2013,0,30,334,514
Bihar,25,2014,0,18,4989,15289
Bihar,25,2014,0,30,185,321
Bihar,26,1997,0,30,65949,83328
Bihar,26,2000,0,30,108680,148078
Bihar,26,2001,0,18,5087,365
Bihar,26,2001,0,30,118353,143365
Bihar,26,2002,0,18,7140,18234
Bihar,26,2002,0,30,81372,120629
Bihar,26,2003,0,30,62815,91437
Bihar,26,2004,0,30,62587,78058
Bihar,26,2005,0,30,60672,72241
Bihar,26,2006,0,30,75418,69697
Bihar,26,2007,0,18,7024,2642
Bihar,26,2007,0,30,74512,29957
Bihar,26,2008,0,18,7148,9115
Bihar,26,2008,0,30,75706,115126
Bihar,26,2009,0,18,6394,5929
Bihar,26,2009,0,30,74950,61782
Bihar,26,2010,0,18,7024,6076
Bihar,26,2010,0,30,72657,45367
Bihar,26,2011,0,18,43626,154451
Bihar,26,2011,0,30,104312,149366
Bihar,26,2012,0,18,39003,129982
Bihar,26,2012,0,30,98697,191087
Bihar,26,2013,0,18,43507,73259
Bihar,26,2013,0,30,99601,144040
Bihar,26,2014,0,18,41750,82553
Bihar,26,2014,0,30,103184,166134
Bihar,27,1997,0,30,19065,23419
Bihar,27,2000,0,30,69489,84160
Bihar,27,2001,0,18,10708,18554
Bihar,27,2001,0,30,77801,63333
Bihar,27,2002,0,18,10609,19894
Bihar,27,2002,0,30,20792,24332
Bihar,27,2003,0,30,18467,20512
Bihar,27,2004,0,30,17051,10409
